tournum tourtype week period day shiftlength startwin
45 1 3 28 4 16 28
45 1 4 28 4 16 28
45 1 1 28 5 16 28
45 1 2 28 5 16 28
45 1 3 28 5 16 28
45 1 4 28 5 16 28
45 1 1 28 6 16 28
45 1 2 28 6 16 28
45 1 3 28 6 16 28
45 1 4 28 6 16 28
46 1 1 28 2 16 28
46 1 2 28 2 16 28
46 1 3 28 2 16 28
46 1 4 28 2 16 28
46 1 1 28 3 16 28
46 1 2 28 3 16 28
46 1 3 28 3 16 28
46 1 4 28 3 16 28
46 1 1 28 4 16 28
46 1 2 28 4 16 28
46 1 3 28 4 16 28
46 1 4 28 4 16 28
46 1 1 28 5 16 28
46 1 2 28 5 16 28
46 1 3 28 5 16 28
46 1 4 28 5 16 28
46 1 1 28 6 16 28
46 1 2 28 6 16 28
46 1 3 28 6 16 28
46 1 4 28 6 16 28
47 1 1 29 2 16 29
47 1 2 29 2 16 29
47 1 3 29 2 16 29
47 1 4 29 2 16 29
47 1 1 29 3 16 29
47 1 2 29 3 16 29
47 1 3 29 3 16 29
47 1 4 29 3 16 29
47 1 1 29 4 16 29
47 1 2 29 4 16 29
47 1 3 29 4 16 29
47 1 4 29 4 16 29
47 1 1 29 5 16 29
47 1 2 29 5 16 29
47 1 3 29 5 16 29
47 1 4 29 5 16 29
47 1 1 29 6 16 29
47 1 2 29 6 16 29
47 1 3 29 6 16 29
47 1 4 29 6 16 29
48 2 2 29 2 16 29
48 2 1 29 3 16 29
48 2 3 29 3 16 29
48 2 4 29 3 16 29
48 2 1 29 4 16 29
48 2 4 29 4 16 29
48 2 2 29 5 16 29
48 2 3 29 5 16 29
48 2 2 29 6 16 29
48 2 4 29 6 16 29
49 2 1 29 2 16 29
49 2 2 29 2 16 29
49 2 3 29 3 16 29
49 2 1 29 4 16 29
49 2 3 29 4 16 29
49 2 4 29 4 16 29
49 2 2 29 5 16 29
49 2 4 29 5 16 29
49 2 2 29 6 16 29
49 2 4 29 6 16 29
50 1 1 30 2 16 30
50 1 2 30 2 16 30
50 1 3 30 2 16 30
50 1 4 30 2 16 30
50 1 1 30 3 16 30
50 1 2 30 3 16 30
50 1 3 30 3 16 30
50 1 4 30 3 16 30
50 1 1 30 4 16 30
50 1 2 30 4 16 30
50 1 3 30 4 16 30
50 1 4 30 4 16 30
50 1 1 30 5 16 30
50 1 2 30 5 16 30
50 1 3 30 5 16 30
50 1 4 30 5 16 30
50 1 1 30 6 16 30
50 1 2 30 6 16 30
50 1 3 30 6 16 30
50 1 4 30 6 16 30
51 1 1 30 2 16 30
51 1 2 30 2 16 30
51 1 3 30 2 16 30
51 1 4 30 2 16 30
51 1 1 30 3 16 30
51 1 2 30 3 16 30
51 1 3 30 3 16 30
51 1 4 30 3 16 30
51 1 1 30 4 16 30
51 1 2 30 4 16 30
51 1 3 30 4 16 30
51 1 4 30 4 16 30
51 1 1 30 5 16 30
51 1 2 30 5 16 30
51 1 3 30 5 16 30
51 1 4 30 5 16 30
51 1 1 30 6 16 30
51 1 2 30 6 16 30
51 1 3 30 6 16 30
51 1 4 30 6 16 30
52 2 1 30 2 16 30
52 2 2 30 2 16 30
52 2 4 30 2 16 30
52 2 1 30 3 16 30
52 2 3 30 3 16 30
52 2 4 30 3 16 30
52 2 3 30 4 16 30
52 2 2 30 5 16 30
52 2 4 30 5 16 30
52 2 2 30 6 16 30
53 2 1 30 2 16 30
53 2 2 30 2 16 30
53 2 3 30 2 16 30
53 2 4 30 2 16 30
53 2 3 30 3 16 30
53 2 4 30 3 16 30
53 2 2 30 4 16 30
53 2 1 30 5 16 30
53 2 2 30 5 16 30
53 2 4 30 5 16 30
54 1 1 32 2 16 32
54 1 2 32 2 16 32
54 1 3 32 2 16 32
54 1 4 32 2 16 32
54 1 1 32 3 16 32
54 1 2 32 3 16 32
54 1 3 32 3 16 32
54 1 4 32 3 16 32
54 1 1 32 4 16 32
54 1 2 32 4 16 32
54 1 3 32 4 16 32
54 1 4 32 4 16 32
54 1 1 32 5 16 32
54 1 2 32 5 16 32
54 1 3 32 5 16 32
54 1 4 32 5 16 32
54 1 1 32 6 16 32
54 1 2 32 6 16 32
54 1 3 32 6 16 32
54 1 4 32 6 16 32
55 1 1 32 2 16 32
55 1 2 32 2 16 32
55 1 3 32 2 16 32
55 1 4 32 2 16 32
55 1 1 32 3 16 32
55 1 2 32 3 16 32
55 1 3 32 3 16 32
55 1 4 32 3 16 32
55 1 1 32 4 16 32
55 1 2 32 4 16 32
55 1 3 32 4 16 32
55 1 4 32 4 16 32
55 1 1 32 5 16 32
55 1 2 32 5 16 32
55 1 3 32 5 16 32
55 1 4 32 5 16 32
55 1 1 32 6 16 32
55 1 2 32 6 16 32
55 1 3 32 6 16 32
55 1 4 32 6 16 32
56 1 1 32 2 16 32
56 1 2 32 2 16 32
56 1 3 32 2 16 32
56 1 4 32 2 16 32
56 1 1 32 3 16 32
56 1 2 32 3 16 32
56 1 3 32 3 16 32
56 1 4 32 3 16 32
56 1 1 32 4 16 32
56 1 2 32 4 16 32
56 1 3 32 4 16 32
56 1 4 32 4 16 32
56 1 1 32 5 16 32
56 1 2 32 5 16 32
56 1 3 32 5 16 32
56 1 4 32 5 16 32
56 1 1 32 6 16 32
56 1 2 32 6 16 32
56 1 3 32 6 16 32
56 1 4 32 6 16 32
57 1 1 32 2 16 32
57 1 2 32 2 16 32
57 1 3 32 2 16 32
57 1 4 32 2 16 32
57 1 1 32 3 16 32
57 1 2 32 3 16 32
57 1 3 32 3 16 32
57 1 4 32 3 16 32
57 1 1 32 4 16 32
57 1 2 32 4 16 32
57 1 3 32 4 16 32
57 1 4 32 4 16 32
57 1 1 32 5 16 32
57 1 2 32 5 16 32
57 1 3 32 5 16 32
57 1 4 32 5 16 32
57 1 1 32 6 16 32
57 1 2 32 6 16 32
57 1 3 32 6 16 32
57 1 4 32 6 16 32
58 2 2 33 2 16 33
58 2 3 33 2 16 33
58 2 4 33 2 16 33
58 2 2 33 3 16 33
58 2 4 33 4 16 33
58 2 1 33 5 16 33
58 2 4 33 5 16 33
58 2 1 33 6 16 33
58 2 2 33 6 16 33
58 2 3 33 6 16 33
59 1 1 43 2 16 43
59 1 2 43 2 16 43
59 1 3 43 2 16 43
59 1 4 43 2 16 43
59 1 1 43 3 16 43
59 1 2 43 3 16 43
59 1 3 43 3 16 43
59 1 4 43 3 16 43
59 1 1 43 4 16 43
59 1 2 43 4 16 43
59 1 3 43 4 16 43
59 1 4 43 4 16 43
59 1 1 43 5 16 43
59 1 2 43 5 16 43
59 1 3 43 5 16 43
59 1 4 43 5 16 43
59 1 1 43 6 16 43
59 1 2 43 6 16 43
59 1 3 43 6 16 43
59 1 4 43 6 16 43
60 1 1 43 2 16 43
60 1 2 43 2 16 43
60 1 3 43 2 16 43
60 1 4 43 2 16 43
60 1 1 43 3 16 43
60 1 2 43 3 16 43
60 1 3 43 3 16 43
60 1 4 43 3 16 43
60 1 1 43 4 16 43
60 1 2 43 4 16 43
60 1 3 43 4 16 43
60 1 4 43 4 16 43
60 1 1 43 5 16 43
60 1 2 43 5 16 43
