n,i,t,p,1_1,1_2,1_3,1_4,1_5,1_6,1_7,2_1,2_2,2_3,2_4,2_5,2_6,2_7,3_1,3_2,3_3,3_4,3_5,3_6,3_7,4_1,4_2,4_3,4_4,4_5,4_6,4_7
60,47,2,23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
61,47,2,23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
62,47,2,31,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0


n,i,t,dummy,1_1,1_2,1_3,1_4,1_5,1_6,1_7,2_1,2_2,2_3,2_4,2_5,2_6,2_7,3_1,3_2,3_3,3_4,3_5,3_6,3_7,4_1,4_2,4_3,4_4,4_5,4_6,4_7
1,11,2, x, -0.0,-0.0,-0.0,1.0,0.0,0.0,1.0,1.0,-0.0,-0.0,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,1.0,0.0,1.0,0.0,1.0,-0.0,-0.0,1.0,0.0,1.0,-0.0
2,11,3, x, 0.0,2.0,2.0,2.0,-0.0,1.0,1.0,1.0,1.0,2.0,2.0,-0.0,1.0,1.0,0.0,2.0,2.0,2.0,-0.0,1.0,1.0,1.0,2.0,2.0,2.0,-0.0,0.0,1.0
3,12,1, x, -0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0
4,12,3, x, 1.0,1.0,1.0,0.0,1.0,-0.0,-0.0,-0.0,1.0,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,1.0,-0.0,1.0,-0.0,1.0
5,14,2, x, -0.0,1.0,0.0,2.0,-0.0,1.0,1.0,-0.0,2.0,-0.0,1.0,-0.0,1.0,1.0,-0.0,1.0,0.0,2.0,-0.0,1.0,1.0,-0.0,2.0,0.0,1.0,-0.0,1.0,1.0
