tournum tourtype week period day shiftlength startwin
44 2 4 28 4 16 27
44 2 2 28 6 16 27
44 2 3 28 6 16 27
44 2 2 29 5 16 27
44 2 1 29 6 16 27
44 2 1 30 2 16 27
44 2 2 30 4 16 27
44 2 4 30 6 16 27
45 1 1 29 2 16 29
45 1 1 29 3 16 29
45 1 2 29 3 16 29
45 1 3 29 3 16 29
45 1 4 29 3 16 29
45 1 1 29 4 16 29
45 1 2 29 4 16 29
45 1 1 29 5 16 29
45 1 4 29 6 16 29
45 1 2 30 2 16 29
45 1 4 30 4 16 29
45 1 2 30 5 16 29
45 1 4 30 5 16 29
45 1 2 30 6 16 29
45 1 3 30 6 16 29
45 1 4 31 2 16 29
45 1 3 31 4 16 29
45 1 3 31 5 16 29
45 1 3 32 2 16 29
45 1 1 32 6 16 29
46 1 1 29 2 16 29
46 1 2 29 2 16 29
46 1 2 29 3 16 29
46 1 2 29 5 16 29
46 1 4 30 2 16 29
46 1 1 30 6 16 29
46 1 4 30 6 16 29
46 1 3 31 2 16 29
46 1 3 31 3 16 29
46 1 4 31 3 16 29
46 1 2 31 4 16 29
46 1 3 31 4 16 29
46 1 4 31 4 16 29
46 1 3 31 6 16 29
46 1 1 32 3 16 29
46 1 1 32 4 16 29
46 1 1 32 5 16 29
46 1 3 32 5 16 29
46 1 4 32 5 16 29
46 1 2 32 6 16 29
47 2 2 29 2 16 29
47 2 4 29 3 16 29
47 2 2 29 4 16 29
47 2 4 29 6 16 29
47 2 3 30 5 16 29
47 2 1 31 2 16 29
47 2 4 31 5 16 29
47 2 2 32 3 16 29
47 2 1 32 6 16 29
47 2 3 32 6 16 29
48 2 3 29 5 16 29
48 2 1 30 3 16 29
48 2 4 30 5 16 29
48 2 2 31 3 16 29
48 2 2 31 6 16 29
48 2 4 31 6 16 29
48 2 3 32 2 16 29
48 2 2 32 4 16 29
48 2 4 32 4 16 29
48 2 1 32 6 16 29
49 1 1 30 2 16 30
49 1 2 30 3 16 30
49 1 1 30 4 16 30
49 1 3 30 4 16 30
49 1 3 30 6 16 30
49 1 3 31 3 16 30
49 1 1 31 5 16 30
49 1 3 31 5 16 30
49 1 2 32 2 16 30
49 1 4 32 2 16 30
49 1 1 32 3 16 30
49 1 4 32 3 16 30
49 1 4 32 4 16 30
49 1 2 32 5 16 30
49 1 2 32 6 16 30
49 1 4 32 6 16 30
49 1 3 33 2 16 30
49 1 2 33 4 16 30
49 1 4 33 5 16 30
49 1 1 33 6 16 30
50 2 1 30 4 16 30
50 2 3 30 6 16 30
50 2 3 31 2 16 30
50 2 4 31 6 16 30
50 2 2 32 3 16 30
50 2 4 32 3 16 30
50 2 1 32 6 16 30
50 2 2 32 6 16 30
50 2 2 33 4 16 30
50 2 4 33 4 16 30
51 2 4 31 3 16 30
51 2 2 31 6 16 30
51 2 4 32 2 16 30
51 2 2 32 3 16 30
51 2 3 32 5 16 30
51 2 4 32 5 16 30
51 2 3 32 6 16 30
51 2 1 33 2 16 30
51 2 1 33 3 16 30
51 2 2 33 4 16 30
52 2 3 30 4 16 30
52 2 4 30 5 16 30
52 2 1 30 6 16 30
52 2 2 30 6 16 30
52 2 3 30 6 16 30
52 2 4 31 6 16 30
52 2 2 32 2 16 30
52 2 4 33 2 16 30
52 2 1 33 3 16 30
52 2 2 33 5 16 30
53 2 4 30 2 16 30
53 2 3 30 3 16 30
53 2 1 30 4 16 30
53 2 4 31 5 16 30
53 2 2 32 2 16 30
53 2 4 32 4 16 30
53 2 2 32 6 16 30
53 2 1 33 3 16 30
53 2 2 33 3 16 30
53 2 3 33 5 16 30
54 3 3 39 2 20 39
54 3 1 39 4 20 39
54 3 1 40 2 20 39
54 3 4 40 2 20 39
54 3 3 40 4 20 39
54 3 4 40 4 20 39
54 3 2 40 6 20 39
54 3 2 41 4 20 39
54 3 3 41 5 20 39
54 3 1 41 6 20 39
54 3 2 42 2 20 39
54 3 3 42 3 20 39
54 3 4 42 3 20 39
54 3 1 42 5 20 39
54 3 2 42 5 20 39
54 3 4 42 5 20 39
55 3 4 39 4 20 39
55 3 3 39 5 20 39
55 3 2 40 3 20 39
55 3 1 40 5 20 39
55 3 2 40 5 20 39
55 3 2 40 6 20 39
55 3 1 41 2 20 39
55 3 1 41 3 20 39
55 3 3 41 4 20 39
55 3 3 42 3 20 39
55 3 4 42 3 20 39
55 3 1 42 4 20 39
55 3 2 42 4 20 39
55 3 4 42 5 20 39
55 3 3 42 6 20 39
55 3 4 42 6 20 39
56 2 1 43 2 16 43
56 2 4 44 2 16 43
56 2 4 44 5 16 43
56 2 1 44 6 16 43
56 2 2 44 6 16 43
56 2 4 44 6 16 43
56 2 3 45 2 16 43
56 2 2 45 4 16 43
56 2 3 45 5 16 43
56 2 2 46 3 16 43
57 2 3 43 5 16 43
57 2 1 44 4 16 43
57 2 2 44 6 16 43
57 2 1 45 2 16 43
57 2 2 45 2 16 43
57 2 4 45 3 16 43
57 2 2 45 4 16 43
57 2 4 45 4 16 43
57 2 3 46 4 16 43
57 2 4 46 6 16 43
58 2 4 44 2 16 44
58 2 4 44 4 16 44
58 2 1 45 2 16 44
58 2 2 45 5 16 44
58 2 3 45 5 16 44
58 2 2 45 6 16 44
58 2 3 45 6 16 44
